category,vehicle-brand,vehicle-model,vehicle-variant,type,recommended-sku,sku-desc.,upsize-sku,alternate-sku1,alternate-sku2,alternate-sku3,,
Motorcycle,Royal Enfield,Thunderbird,350 cc,Rear,106718,110/90-18 GRIPP XL TT 61P,,103034,,,,
Motorcycle,Yamaha,FZ 16,150 cc,Rear,113709,140/60R17 CROSSRAD TL 63H,,107819,,,,
Motorcycle,Yamaha,Fazer,150 cc,Rear,113709,140/60R17 CROSSRAD TL 63H,,107819,,,,
Motorcycle,Suzuki,Gixxer,155 cc,Rear,113709,140/60R17 CROSSRAD TL 63H,,107819,,,,
Motorcycle,Suzuki,Intruder,155 cc,Rear,113709,140/60R17 CROSSRAD TL 63H,,107819,,,,
Motorcycle,Royal Enfield,Himalayan,411 cc,Rear,107820,120/90-17 GRIPP XL PLUS 64S TT,,,,,,
Motorcycle,Honda,CBR,250 cc,Rear,113263,140/70-17 GRIPP X5 TL 66H,,101824,106388,105808,106361,
Motorcycle,Honda,Hornet,160R,Rear,113263,140/70-17 GRIPP X5 TL 66H,,101824,106388,105808,106361,
Motorcycle,Yamaha,FZ25,250 cc,Rear,113263,140/70-17 GRIPP X5 TL 66H,,101824,106388,105808,106361,
Motorcycle,Yamaha,MT15,MT15,Rear,113263,140/70-17 GRIPP X5 TL 66H,,101824,106388,105808,106361,
Motorcycle,Yamaha,R15,155 cc,Rear,113263,140/70-17 GRIPP X5 TL 66H,,101824,106388,105808,106361,
Motorcycle,Bajaj,Pulsar,150 cc Twin Disc,Rear,113264,120/80-17 GRIPP X5 TL 61P,,106074,,,,
Motorcycle,Bajaj,Pulsar,180 cc,Rear,113264,120/80-17 GRIPP X5 TL 61P,,106074,,,,
Motorcycle,Bajaj,Pulsar,160 cc,Rear,113264,120/80-17 GRIPP X5 TL 61P,,106074,,,,
Motorcycle,Bajaj,Pulsar,220 cc,Rear,113264,120/80-17 GRIPP X5 TL 61P,,106074,,,,
Motorcycle,Hero,Hunk,150 cc,Rear,113265,100/90-18 GRIPP X5 TL 56P,,106384,101961,106762,106763,
Motorcycle,Honda,Unicorn,150 cc,Rear,113265,100/90-18 GRIPP X5 TL 56P,,106384,101961,106762,106763,
Motorcycle,Honda,Unicorn,150 cc,Rear,113265,100/90-18 GRIPP X5 TL 56P,,106384,101961,106762,106763,
Motorcycle,Suzuki,GS 150,150 cc,Rear,113265,100/90-18 GRIPP X5 TL 56P,,106384,101961,106762,106763,
Motorcycle,TVS,Apache,RTR 160 Hyper Edge,Rear,113265,100/90-18 GRIPP X5 TL 56P,,,,,,
Motorcycle,Bajaj,Discover,125 cc,Rear,113266,100/90-17 GRIPP X5 TL 55P,,106210,106503,106761,,
Motorcycle,Bajaj,Discover,150 cc,Rear,113266,100/90-17 GRIPP X5 TL 55P,,106210,106503,106761,,
Motorcycle,Bajaj,Pulsar,135 cc,Rear,113266,100/90-17 GRIPP X5 TL 55P,,106210,106503,106761,,
Motorcycle,Bajaj,Pulsar,125 cc,Rear,113266,100/90-17 GRIPP X5 TL 55P,,106210,106503,106761,,
Motorcycle,Bajaj,Pulsar,150 cc,Rear,113266,100/90-17 GRIPP X5 TL 55P,,106210,106503,106761,,
Motorcycle,Bajaj,XCD,100 cc,Rear,113266,100/90-17 GRIPP X5 TL 55P,,106210,106503,106761,,
Motorcycle,Hero,Ignitor,125 cc,Rear,113266,100/90-17 GRIPP X5 TL 55P,,106210,106503,106761,,
Motorcycle,Honda,CBF Stunner,125 cc,Rear,113266,100/90-17 GRIPP X5 TL 55P,,106210,,106503,106761,
Motorcycle,Yamaha,SZ RR,150 cc,Rear,113266,100/90-17 GRIPP X5 TL 55P,,106210,,106503,106761,
Motorcycle,TVS,Flame,135 cc,Rear,113266,100/90-17 GRIPP X5 TL 55P,,106210,106503,106761,,
Motorcycle,Bajaj,Pulsar,NS 125 cc,Rear,113266,100/90-17 GRIPP X5 TL 55P,,106210,106503,106761,,
Motorcycle,Hero,Achiever,150 cc,Rear,113267,80/100-18 GRIPP X5 TL 54P,,101957,103065,105761,106500,102573
Motorcycle,Hero,Glamour,125 cc,Rear,113267,80/100-18 GRIPP X5 TL 54P,,101957,103065,105761,106500,102573
Motorcycle,Hero,Splendor,Splendor +,Rear,113267,80/100-18 GRIPP X5 TL 54P,,101957,103065,105761,106500,102573
Motorcycle,Hero,Splendor,Splendor I Smart 125 cc,Rear,113267,80/100-18 GRIPP X5 TL 54P,,101957,103065,105761,106500,102573
Motorcycle,Hero,Passion,Passion Pro 110 cc,Rear,113267,80/100-18 GRIPP X5 TL 54P,,101957,103065,105761,106500,102573
Motorcycle,Honda,Dream,110 cc,Rear,113267,80/100-18 GRIPP X5 TL 54P,,101957,103065,105761,106500,102573
Motorcycle,Honda,Shine,125 cc,Rear,113267,80/100-18 GRIPP X5 TL 54P,,101957,103065,105761,106500,102573
Motorcycle,Honda,Livo,110 cc,Rear,113267,80/100-18 GRIPP X5 TL 54P,,101957,103065,105761,106500,102573
Motorcycle,Yamaha,Saluto,125 cc,Rear,113267,80/100-18 GRIPP X5 TL 54P,,101957,103065,105761,106500,102573
Motorcycle,Bajaj,Boxer,100 cc,Rear,113268,3.00-17 GRIPP X5 TT 50P,,101673,102975,105764,,
Motorcycle,Bajaj,CT,100 cc,Rear,113268,3.00-17 GRIPP X5 TT 50P,,101673,102975,105764,,
Motorcycle,Bajaj,CT,110 cc,Rear,113268,3.00-17 GRIPP X5 TT 50P,,101673,102975,105764,,
Motorcycle,Bajaj,Platina,100 cc,Rear,113268,3.00-17 GRIPP X5 TT 50P,,101673,102975,105764,,
Motorcycle,Bajaj,Discover,110 cc,Rear,113268,3.00-17 GRIPP X5 TT 50P,,101673,102975,105764,,
Motorcycle,Yamaha,Saluto RX,110 cc,Rear,113268,3.00-17 GRIPP X5 TT 50P,,101673,102975,105764,,
Motorcycle,TVS,Jive,125 cc,Rear,113268,3.00-17 GRIPP X5 TT 50P,,101673,102975,105764,,
Motorcycle,TVS,MAX 1,100 cc,Rear,113268,3.00-17 GRIPP X5 TT 50P,,101673,102975,105764,,
Motorcycle,TVS,Star City,110 cc,Rear,113268,3.00-17 GRIPP X5 TT 50P,,101673,102975,105764,,
Motorcycle,TVS,Sport,100 cc,Rear,113268,3.00-17 GRIPP X5 TT 50P,,101673,102975,105764,,
Motorcycle,TVS,Victor,125 cc,Rear,113268,3.00-17 GRIPP X5 TT 50P,,101673,102975,105764,,
Motorcycle,Hero,CD,100cc,Rear,113269,2.75-18 GRIPP X5 TT 48P,,102976,101672,105763,,
Motorcycle,Hero,CD,Dawn 100 cc,Rear,113269,2.75-18 GRIPP X5 TT 48P,,102976,101672,105763,,
Motorcycle,Hero,Splendor,Splendor 100 cc,Rear,113269,2.75-18 GRIPP X5 TT 48P,,102976,101672,105763,,
Motorcycle,Hero,HF Deluxe,100 cc,Rear,113269,2.75-18 GRIPP X5 TT 48P,,102976,101672,105763,,
Motorcycle,Yamaha,Enticer,125 cc,Rear,113269,2.75-18 GRIPP X5 TT 48P,,102976,101672,105763,,
